话题,详细内容,备注补充内容,,,,,,,,,,,
木工打柜子,"木工往往使用指接生态板，更好加工，虽然生态板用胶量少是事实，但是少不代表环保，
有些板材厂为了降低成本使用环保不达标的胶水一样会带来甲醛超标的风险。",,,,,,,,,,,,
木工打柜子,认为自己购买的板材质量更好，环保等级更高？,,,,,,,,,,,,
木工打柜子,"本地工厂,板材种类、颜色，选择更加丰富，普遍环保等级E1以上，也有不少ENF级板材，质量和环保都更有保障。工厂已经全面升级了PUR封边，很多现场打柜子用一段时间后封边条脱落的，但由工厂加工处理的封边条也不易脱落，一定程度上减少了甲醛的危害。",,,,,,,,,,,,
木工打柜子,【选木工】：板材、五金都自己买，人工运输成本高，采买中需要多备一点材料，以防不够，没有售后保障。,,,,,,,,,,,,
木工打柜子,【选本地工厂】：大型自动化设备的辅助，把每个人的效率提高了3倍以上，同样多的柜子，工厂需要的人工成本比自己请木工师傅在家里打柜子低的多。以及板材成本，工厂因为是大批量采购板材，同样的板材价格自然也会更低，工厂售后也更有保障。,,,,,,,,,,,,
木工打柜子,【选木工】：简单的进行柜体分区划分，只能做基础柜。,,,,,,,,,,,,
木工打柜子,【选本地工厂】：工厂做全屋定制可以先量尺设计，不管是颜色搭配、尺寸比例，都可以先通过设计图纸进行沟通和确认。同时，工厂全屋定制可以选择的门板款式，五金配件更加丰富，可以做出任何你想要的效果。,,,,,,,,,,,,
木工打柜子,如果对家里的柜体要求较低，且个人比较有时间跑市场买材料的话，可以选择木工打柜子；,,,,,,,,,,,,
木工打柜子,如果是对整体有要求的话，无论是从颜值、性价比，还是环保质量，选本地的全屋定制工厂都是很推荐的！,,,,,,,,,,,,
木工打柜子,木工打柜子是木工在现场根据实际尺寸进行板材切割、拼装及喷漆；,,,,,,,,,,,,
木工打柜子,全屋定制是工业化制作，根据设计图纸在工厂中进行切割、拼装及喷漆。,,,,,,,,,,,,
木工打柜子,【全屋定制优势】：制作尺寸精细，开孔更精准；在工厂制作，避免屋内切割产生粉尘；工厂内完成油漆工序；板材在工厂内封边，现场切割较少，减少有害气体挥发；安装周期短、方便快捷。,,,,,,,,,,,,
木工打柜子,劣势：价格相比木工现场打柜子要高；在工厂加工周期相对现场打柜子要长；板材的颜色需要在固定颜色中选择。,,,,,,,,,,,,
木工打柜子,【木工现场打柜子】优势：价格相对全屋定制要低；加工周期短；色彩及木纹都可定制。,,,,,,,,,,,,
木工打柜子,劣势：污染较大，不够环保；板材都是现场切割，无封边，有害气体陆续散发；制作精细度不如工厂加工。,,,,,,,,,,,,
EVA封边/热熔封边,通过加热施胶，一般会使用pur封边双倍的胶水，容易溢胶，遇到高温容易开裂，所以不建议厨房使用。热塑性，物理反应，可逆。,,,,,,,,,,,,
EVA封边/热熔封边,1、容易受温度影响 2、用胶量大3、容易开裂和溢胶4、耐用性差5、有明显胶线6、环保度/平整度/美观度比较差7、胶线在长期使用中容易发黄积灰变黑，对浅色板材来说，质感会大打折扣！,,,,,,,,,,,,
EVA封边/热熔封边,市场现状：人们常把Eva封边记成Pvc封边，总之就是三个封边中最差，但也是现在大部分工厂使用的封边技术，近几十年就是一直是以这种封边为主。市面上99%的柜体是热熔封边，80%的柜门是热熔封边，pur和激光只占少数。关于热熔封边的环保，取决于厂家的生产规范和用胶质量，但这一点又是客户很难把控的。,,,,,,,,,,,,
EVA封边/热熔封边,"设备：普通封边机
低工作温度：180到210摄氏度（敞开式）
胶水价格：10到30元每公斤涂胶量：200到300克每平方米
封边质量：差强度：60到100VOC排放量：100到200克每升耐性：
胶线较厚（0.1到0.2 MM）耐水性、耐候性、耐热性、耐溶剂均较差，黄色1到2年",,,,,,,,,,,,
pur封边,现在pur胶，采用的是德国的pur胶水，主要是靠湿气固化，不易受温度影响导致开裂，美观度仅次于激光封边。,,,,,,,,,,,,
pur封边,1、pur即湿气反应性热溶胶，加热后会和空气里的湿气反应，吸收空气中的水分进行固化2、不可逆，也就说的加热也不会融化。3、相对施胶量小4、耐热耐寒，耐水蒸气，耐化学品和耐溶剂。包覆的线板能在 -40°—150°保持稳定！,,,,,,,,,,,,
pur封边,市场现状：以成都的工厂为例，现在使用pur封边的工厂是极少数，主要还是Eva封边为主。不过随着市场的更新迭代，和大众对生活品质的提高，pur封边会逐步普及。,,,,,,,,,,,,
pur封边,"封边原理：反应性聚氨酯，交联化学反应，不可逆
设备：PUR溶胶系统+高配封边机设备投资：较高
工作温度：130到150摄氏度（半场开）
胶水价格：55到75元每公斤
涂胶量：70到150克每平方米封边质量强度：高（大于140N）
VOC排放量：小于100克每升
耐性：胶线很细（0.03到0.05毫米）耐水性，耐候性，耐热性、耐溶剂很好，耐变黄5到10年",,,,,,,,,,,,
pur封边,pur封边存在胶线，需要多一道人工程序就是修边。,,,,,,,,,,,,
激光封边,通过特殊的封边带，封边条含活化涂层，无胶水，背后自带“激光光敏活化物质”，在激光瞬间高温过后，涂层活化，达到类似“焊接”的状态。但是涂层与板材的焊接剥离强度高于涂层与封边带的剥离强度，也就是说，哪怕人为让封边带掉了，这个涂层还是会牢牢“焊死”在板材上。,,,,,,,,,,,,
激光封边,特点：平整美观、饱和度高，环保耐用，防水性强，环保无胶水挥发，使用寿命长。,,,,,,,,,,,,
激光封边,市场现状：中国用激光封边的厂家一双手就能数过来，因为一台德国豪迈的封边机，需要400万基础成本的投入，提前预定半年左右，还需要场地改造，封边带囤货，所以一个工厂想要实现激光封边的技术，前期投入需要700万现金流打底。这并不是随便一个品牌或工厂能安排上的，基本上都是部分进口板材在用，好马配好鞍，就是这个道理。,,,,,,,,,,,,
激光封边,"封边原理：热塑性物理反应
可逆设备：激光发生器+高配封边机设备投资：很高
工作温度：500到800摄氏度（密封）
胶水价格：0涂胶量：0封边质量：最高强度：中（100到130N）
VOC排放量：暂无相关数据
耐性：初期无胶线，耐水性、耐候性、耐热性、耐溶剂性较好，耐黄变5到10年新趋势（钻石封边、六面无痕封边）",,,,,,,,,,,,
激光封边,激光封边没有使用胶的原因，不会有胶线，封边与板材是很直接的连接在一起。,,,,,,,,,,,,
激光封边,常规家装没必要过分追求激光封边。,,,,,,,,,,,,
封边材料,PVC、ABS、PP、PMMA木皮、实木条、HPL等,,,,,,,,,,,,
封边设备,手动封边机、自动封边机、直线封边机、斜边封边机、曲线封边机、热熔胶封边机、激光封边机等,,,,,,,,,,,,
封边市场情况,国产板材EVA封边、爱格木纹PUR封边、文信激光封边亚克力、德国瑞好钻石封边、克诺斯邦无缝亚克力,,,,,,,,,,,,
环保标准,板材的环保标准等级常见的主要是欧标，新国标，日本f4星等，比如爱格板，它的真实环保是按照欧标e1来执行的，欧标中是没有e0标准的，而欧标最初也是由爱格来制定的，只有e1和e2。,,,,,,,,,,,,
环保标准,爱格实际也达到了日本f4星，所以商家一般会宣传f4星，显得更直观高级，而欧标e1就容易让人当成和国内e1差不多,,,,,,,,,,,,
环保标准,新国标有三个档位，e1，e0，enf，其中甲醛释放量e1最高，enf最低，甚至比日本f4星还要低，但考虑到检测方法不同，暂时认为打个平手,,,,,,,,,,,,
环保标准,个人认为F4星考虑得更全面，因为ENF它只是在甲醛方面做了极限的规定，的确等级要比F4星还要高，可是他忽略忽略了苯系挥发物和TVOC挥发物，其实苯系和TVOC呢 也是致癌的强致癌物,,,,,,,,,,,,
环保标准,所以选择板材的时候 建议多看一些，当然ENF也是非常很好的板材，我们要看更多的指标，而不是只关注于甲醛。,,,,,,,,,,,,
环保标准,E1已经是国产板材的最低标准，环保最差，除非预算特别有限，否则不能选，而低于e1的板材甚至是不允许生产的。,,,,,,,,,,,,
环保标准,淘宝上的很多很多商家还在拿E1标准作为环保宣传，下面加了个国际，就想往欧标上靠，坑你没商量，而且用E1板材是淘宝家具的常见做法，也是常见宣传，导致几个月前我看电视柜的时候甚至找不到e0的,,,,,,,,,,,,
环保标准,家居城里的成品家具，也大多是e1最低标准的，所以才那么大的味道，但成品家具可能放的比较久了，甲醛又会低上一点,,,,,,,,,,,,
环保标准,所有的检测都是通过一块板子来检测的，实际制成家具后，会由于板材密集程度更大而环保超标。所以尽量还是选e0以上的,,,,,,,,,,,,
环保标准, E1/E0的即便达到国家环保标准，也不建议过多使用。一个房间内放一张甲醛释放为0.12mg/m³的板材也许影响不大，但是放10张、20张效果是不同,,,,,,,,,,,,
环保标准,使用E1/E0做家具，建议选择双饰面，且注意检查封边是否完好。完好的封边、贴面能很大程度的减少甲醛的释放量。虽然甲醛被封闭在板材内部，释放时长可能更长，但是量会小很多；,,,,,,,,,,,,
环保标准,尽可能使用无醛环保板材； 家具定制，要美观，更要环保无醛板,,,,,,,,,,,,
环保标准,至于同为e0或者f4星的板材，我们可以认为他们完全相同，不用考虑是多层实木还是生态板还是颗粒板，预算有限就国产正规厂家的e0，比如新飞林，翡丽，大亚，千年舟，兔宝宝这些常见的，充足就进口f4精板，比如克诺斯邦精板,,,,,,,,,,,,
环保标准,想和大家直接讲一句话：百分百无醛是不可能的！毕竟甲醛无处不在。,,,,,,,,,,,,
环保标准,其实在购买的时候真的不要看商家的口号，只要认准像西德板一样，符合欧盟标准的同时，还能达到日本4星标准，国内E1级证书也有的板材，就已经足够满足你的需求了，不要额外缴纳过贵的智商税。,,,,,,,,,,,,
环保标准,即便是行业内有人吹嘘的无醛板，严格意义上，应该叫无醛添加板。这种无醛添加板，不是指板材本身完全不含甲醛，而是指在板材的加工过程中，没有人为添加含甲醛的酚醛树脂和脲醛树脂等传统胶水，通过技术和材料的提升让板材甲醛的释放量无限趋近于零。,,,,,,,,,,,,
环保标准,两种方法所以使用单位不一样。对样品大小的规定也不一样。,,,,,,,,,,,,
环保标准,"1、旧国标
E1≤0.124mg/㎡°，旧国标没有E0，只有E1.
2、新国标
E1≤0.124mg/m³
E0≤0.050mg/m³
ENF≤0.025mg/m³(目前是全球最高标准了）
新国标在2021年10月1日后开始实施。","气候箱检测（单位mg/m°）：取使用1m°的气候箱，或大于22㎡的气候室。箱子的内部环境日常生活的室内环境保持一致，然后把1立方米的板材样品放进去。每隔同样一段时间，用蒸馏水吸收甲醛，再测定甲醛含量。
在国内检测，是工厂或品牌方将产品样本送至中国质量监督局(含省市级\地级)，检测报告仅对送检样本负责。",,,,,,,,,,,
环保标准,"欧标
E1≤0.124mg/m³
国标E1和欧标E1要求一致。",,,,,,,,,,,,
环保标准,"日本F星级别
F1星≤5mg/L
F2星≤1.5mg/L
F3星≤0.5mg/L
F4星≤0.3mg/L","干燥器（单位mg/L）：取干燥器，干燥器内环境要和日常生活的室内环境保持一致。取一块样品放进9-11L或40L的干燥器，等24小时之后，用蒸馏水吸收甲醛，再测定甲醛含量。
日本的F4星规定了生产全流程的控制，多次抽检多处把关。检测面积是国内10倍，监测温度是国内的3倍。",,,,,,,,,,,
环保标准,在这里说一个点，日本的整个体系不仅是这个不仅是对甲醛的要求，还是对工厂整个生产体系进行环保认证：原材料、生产工艺、成品的各个环节。,,,,,,,,,,,,
环保标准,在国外是抽检，抽到哪个监测哪个，随机性好。,,,,,,,,,,,,
环保标准,"走了一圈遇到很多商家声称自己是F4，国内大多商家宣称的F4星并无认证,仅为送样检测达到了F4标准,利用客户知识盲区去渲染。真的F4需要拿到日本JAS认证，即日本农林机构认证才可。",,,,,,,,,,,,
爱格板的优势,爱格板无疑是当前国内知名度最高、最受欢迎的进口板材，也正是因为其受欢迎程度，市场上真假爱格板鱼龙混杂，相信没人愿意花着爱格板的钱买到假的爱格,"静曲强度
确定试件在最大载荷作用时的弯矩和抗弯截面模量之比。以人造板为例，当人造板受力后就会造成一定的弯曲，这种情况，就叫“静曲”。“静曲强度”就是人造板在受力弯曲到断裂时它所能承受的压力强度，用Mpa来表示。
K林木业：15.9；F人板：16.7 ； KN斯邦：13.0；A格：17.2
",,,,,,,,,,,
爱格板的优势,国际一线，一直以来十分爱惜羽毛，从不走低端路线，只卖精华，同时拥有顶级设计资源，外观高级。作为最早进入国内的国际大牌，人气最高，公关团队很厉害，黑料主要是对家放的说她血统不纯，以及用边角料做填充。最大的烦恼是太红了，分身乏术，盗版过多。,"握螺钉力
简单来说就是检验板材连接件之间是否牢固，关系到钉子进入板材后，钉子是否容易固定钉孔，是否容易松动脱落。如果是握钉力好的板材，对钉子的固定力就强，钉子不易脱落，反之，固定力就差，容易脱落。
一般来说，握钉力强的板材，制成的家具柜会越牢固，寿命也会越长。而握钉力的强弱则取决于板材的木种、密度、含水率、硬度、弹性、纹理方向、施胶量、生产工艺、钉子形状、钉子与木材接触面的大小，以及环境条件等。握钉力的大小是判断板材是否优质的重要标准之一。规定的标准是：≥900
KN木业：1393，F人板：1233，KN斯邦：1110，A格：1533
爱格门板主要做门板，中国很少做柜体
爱格板工艺：激光封边、PUR封边",,,,,,,,,,,
爱格板的优势,国内知名度top，价格也很高，花色300多种，颜色出众所以很多人都冲着它的花色去的。但是基材原料上在其他进口板中属于一般吧！爱格在国内一般是6个授权商还有一个文信，部分是直接拿货，就是因为爱格很受欢迎所以有不少商家去高仿！,"2H吸水膨胀率
准确来说应该是吸水厚度膨胀率，是按标准规定的方法，截取一定量的试样浸入水中，浸泡2H后，测得的吸水前后厚度差与浸水前厚度之比，也就是颗粒板在湿度很高的环境下能否正常使用，定下来的标准是≤8.0%。
特别是比较潮湿的南方区域客户，是不是经常听到颗粒板防潮性不好的说法？但又没有确切的证据，只能搞的自己都人云亦云了。这个数据的作用就是看你家的柜子防潮性能怎么样！
K林木业：2.0，F人板：0.2，KN斯邦：4.4，A格：0.1",,,,,,,,,,,
爱格板的优势,人工制造的板材，它的主要成分是天然的针叶树种，爱格板具有耐高温、耐腐蚀、抗刻划、比较容易清洗等特点，所以在平常使用时，用微湿的抹布轻轻擦抹，即可除去表面的灰尘和污痕。,,,,,,,,,,,,
爱格板的优势,爱格在国内大概有近150种颜色，不过很多厂家为库存考虑，不会全部上样，能有50-60种就不错了。,,,,,,,,,,,,
爱格板的优势,爱格还是可以的，来自奥地利，日本F4星级环保标准（目前最高的环保标准）。但国内市场假的也比较多。还有一种爱格板，说是进口的，但只是进口国外的素板，表面饰面到国内压贴，这种就是假的。,,,,,,,,,,,,
爱格板的优势,爱格算是国内知名度最高的进口板材了，比克诺斯帮进入国内要早。国内有不少品牌在用，但品牌商在店内一般不会强调板材，只会介绍各自品牌。,,,,,,,,,,,,
爱格板的优势,仿木纹系列，手感没有可丽芙的好，价格比可丽芙便宜，也属于国内上等的了。,,,,,,,,,,,,
爱格板的优势,真的爱格板确实不错，价格比可丽芙便宜，属实是好东西。但购买时一定擦亮眼睛。爱格公司是纯正的板材企业，类似国内的兔宝宝。如果能购买到正品的爱格板，本人推荐爱格的颗粒板,,,,,,,,,,,,
爱格板的优势,"爱格热门色号：
U702羊绒灰、W1000至尊白、H1377原木色、U960玛瑙灰",,,,,,,,,,,,
爱格板的优势,"爱格板达到日本F4星的环保标准，这个标准仍然是全球环保最严格的标准之一，爱格板的检测结果非常稳定，0.2mg/L，这个是什么意思呢？日本F4星环保标准是没有使用面积限制的，全屋用爱格板做再多的柜子也不用担心柜子的甲醛超标问题，也就是用爱格板做全屋的柜子已经能确保全家人的健康了，这点是毋庸置疑的。对于老外来说，爱格板在环保问题上已经完全没有问题了，为什么还要去花时间花精力花金钱去弄什么MDI胶，做什么无醛板呢？也可以换一种说法，用MDI胶做无醛板的目的是什么，就是为了要让柜子环保，让消费者不要因为柜子的环保问题而得病，爱格板说：几十年前我已经达到这个目的了。
无醛板的饰面属于有醛添加，无醛板大多数是国产的基材在国内贴的饰面，而爱格板是整板进口，在欧洲出工厂已经贴好了饰面，就贴饰面这一层来说，爱格板还是站的很稳。",,,,,,,,,,,,
爱格板的优势,真正的爱格都是原装进口的，国内裁切和封边，爱格材质本身来自北欧寒带的针叶树 质地结实。,,,,,,,,,,,,
爱格板的优势,现在流行的一门到顶推荐用爱格，且不用加拉直器。环保性也会较好,,,,,,,,,,,,
爱格板的优势,今年市面上爱格板越来越火，都看重了爱格的环保和花色，导致今年年中出现了一波断货潮，太火,,,,,,,,,,,,
爱格板的优势,爱格板在进口板中地位也是特别高的，不管是销量还是客户认可度，目前没有任何一款进口品牌可以超越，目前国内做的好的进口板有爱格板，克洛斯邦，瑞好，飞德莱，赛洛森，芬萨等， 爱格板毋庸置疑是首选,,,,,,,,,,,,
爱格板的优势,握螺钉力，吸水膨胀率，静曲强度等等，只有所有特性都是保持顶级的，才能说是顶级的板材，不可否认的是爱格板的检测数据是行业内顶级的,,,,,,,,,,,,
爱格板的优势,爱格（F****级）板材的甲醛释放量符合日本JIS A 1460标准，按干燥器法检测，每一升水中的平均甲醛含量为0.3毫克（极值为0.4毫克）。如今爱格板已经成为进口环保板材的代名词，并承诺100%欧洲原装进口！,,,,,,,,,,,,
爱格板的优势,爱格板基材：颗粒板（天然原木经切剖、粉碎、高温高压制成的一种更适合家具加工生产和使用的板材）,,,,,,,,,,,,
爱格板的优势,"板材尺寸： 2070*2800，可以做2800以内一门到顶的柜子和门板，而且抗变形能力强。爱格板稳定性强，爱格板最长可做到5600mm,抗变形性能极其优越，可用于制造超大跨距的书柜、衣柜、橱柜等产品。",,,,,,,,,,,,
爱格板的优势,花色独一无二，选择爱格板的很多人都是喜欢它的花色质感。,,,,,,,,,,,,
爱格板的优势,爱格板执行的是日本F☆☆☆☆环保标准，甲醛释放量低于国产板材。,,,,,,,,,,,,
爱格板真伪,"爱格板授权查询
现在官网上都是可以查到授权的，北京瑞原爱格装饰材料有限公司是欧洲爱格板材的总代理，是不是真爱格一查便知，目前爱依瑞斯、博诺尼、意风、飞美、MHOZZ美豪斯、KD、德耐尔等等这些耳熟能详的品牌都有爱格板授权。
想知道自己选的品牌有没有授权，点开它的官网一看便知了。比较知名的品牌，意风、飞美、博洛尼、爱依瑞斯、非同、KD、德耐尔、盛邦、柏辉、大成克罗尼等等，大家熟悉的品牌，基本上都有爱格板材的使用授权的。",,,,,,,,,,,,
爱格板真伪,爱格板在中国没有生产，凡是号称国产爱格板的都是假货！,,,,,,,,,,,,
爱格板真伪,爱格板只有W980白色板在背面有 EGGER 英文 Logo ，其他颜色板子后面有 Logo 的都是假货！,,,,,,,,,,,,
爱格板真伪,爱格板为实木颗粒板，没有多层板和实木芯板，如果这二种基材号称爱格板则为假货！,,,,,,,,,,,,
爱格板真伪,爱格有自己的封边条厂，封边条面上没有爱格的 logo ，有 logo 的是假货！,,,,,,,,,,,,
爱格板真伪,爱格板规格为2.8mx2.07m，可以做高2.78米的柜门，如果说最高只能做2.4m的柜门则为假货！,,,,,,,,,,,,
爱格板真伪,".查授权
· 这是分辨爱格板真伪的重要一步。爱格对授权者的实力、面积等均有严格的要求，是不会滥发授权的
· 查询流程：爱格官网——授权经销商——授权商家
· 图2是以为我们家为例，为大家展示的整个查询流程，附查询链接
· 如果查询不到，需要多加留意，可以拨打授权经销商进一步核实",,,,,,,,,,,,
爱格板真伪,"看授权书
· 线下门店查看它的授权书，如图3
· 记着正规的爱格授权商家会主动将授权书挂在显眼的位置，不会等着你去要",,,,,,,,,,,,
